id,label
1126447550087585792,kaumbuchin
1127874560794087424,arasiearasie
1128207505576697857,ynsirait
1128331569398108160,mayasukasemua
1128483984327856128,fadilahrizqaaaa
1129592882669576192,fernandobongs19
1131107343477772288,astrilianti_
1131120079523811329,jejeowke
1131192828250341377,ohcasr
1131234473125617664,iw_elizabeth
1131505766832017408,riseskyy
1132788615262507009,MomoTan87566566
1133629992099692544,charamelinzeu
1133727488805199872,tempeeh
1134375434332672000,5dasar_
1134851446162186241,menoelazharr
1135165621614682112,byungchanku
1135189785310457856,akudinamit
1135238233015480321,qnafess
1135561049845817345,cwakzz
1135807891468836864,sweetnessilu
1136268965229891584,innerchildteha
1136483607650787328,mazgres
1137300260458385408,urdumbgvrl
1137304988714131456,tralisjendela
1137556979243659265,FRDN404
1138432323261685761,raacoonnn
1138444311266246658,ziellxxy
1138632001450196995,TeguhSu33621443
1139183032244424706,arlipowin
1140166932701646849,athayazz
1140580617282711552,yovrmine
1140944216522031106,geraldianaa
1141313433041641475,Isfiah
1141580179317280768,spenduda_mlg
1141623665303252992,notyourszzz
1141712950333325312,chatimecocoa
1142680057309065217,beccarenata
1143379692763791361,halimahzahrra
1144500700623192065,AnggaAyunda2
1145181854221254657,jjkbabybunny
1145508987707674624,iam_angelxx
1145544741129375744,Triyogas_
1145659639750520832,Tempebengukk
1145754329283870720,septembergirlss
1147495568106594309,GadingTamir
1148934194308927490,mvencaloree
1149238471355072512,CintaKa59002219
1149667279707054085,pppangaribuan
1150431105637470208,aticannnnn
1151330911423627265,imbeautygurll
1151897617950892032,nadendraa
1152002719449640960,putrinovsr
1152215992073719811,mutualan_kuyyy
1152437175587241985,sbyfess
1152557665874137091,Pipi_pausss
1152790030789697536,niklovesfood
1153225858674331648,Spark71994247
1153916332867383296,marufamarr_
1154441495946002432,kulitrenyahkfc
1154600251480612864,egaaahhh
1155399097387384832,znewsid
1155752171675111425,boluboluww
1156845421261537280,setheace
1159301609429454848,mustRahmani1
1160594387044167680,luxsarryy
1160893028157968385,augtsept
1162223272353644546,vivanewscom
1163259520027488256,bima_ajip
1164359976619352064,awnopp
1165506604512342016,udahanduluya
1165538036366446592,ubsansfess
1165721556422578176,last_idol_id
1165850944778555392,Jeelanjalan
1167056637963599874,iiyyaasss
1169218076161691650,ZadeNaufal
1173132023969398790,arechirasyid
1173297211616088065,yuzuruhy
1173417308716273664,zeze17038822
1174262924849889281,laxrouge
1174292355630821377,crustypoppins
1174967534782599170,NisaWidyastuti
1175941686901346306,brln22
1176020556073730050,Schehaninabb
1176343710344237057,RevaldyRachman
1177052356925513728,undipmenfess
1177181039292112896,skzsday
1177841654759219200,Lllail2
1177908107910926336,orangsunmda
1177922291654545408,immabouzz
1178353741814087680,jupiterzars
1178569123111899147,RikaWilianti29
1178594108601823232,plysh_28
1178610954084315136,alinkayaniazza1
1179975071470800898,ririschan__
1181350639458062337,azarinesava
1181461026039926785,jeononuwz
1181774851289141248,agungH312
1183037206077689857,urmalightt
1183399252271214592,biashuwang
1183547136635363329,disdikbudkendal
1184094015505031168,immaulie
1185042293020954626,Uluwiy3
1185301570985979904,SaaFelisa
1185410692448309248,ucpprztyfvck
